artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
J. Cole,Revenge Of The Dreamers III: Director's Cut,Got Me,1,7,0,4,0.146,0.6990000000000001,0.611,0.0,0.0959,-6.439,0.33799999999999997,76.27600000000001,0.461,50,hiphop,284.04
J. Cole,Revenge Of The Dreamers III: Director's Cut,MIDDLE CHILD,1,8,1,4,0.191,0.8390000000000001,0.484,0.0,0.254,-6.9,0.242,126.021,0.513,50,hiphop,213.0
J. Cole,Revenge Of The Dreamers III: Director's Cut,PTSD,1,1,1,4,0.115,0.547,0.875,1.39e-06,0.14400000000000002,-5.417000000000001,0.439,95.306,0.594,49,hiphop,237.85299999999998
J. Cole,Revenge Of The Dreamers III: Director's Cut,Sacrifices,1,0,1,4,0.10099999999999999,0.8270000000000001,0.685,0.0,0.109,-6.978,0.40700000000000003,146.995,0.275,53,hiphop,382.306
J. Cole,Revenge Of The Dreamers III: Director's Cut,Big Black Truck,1,9,1,4,0.451,0.607,0.48,0.0,0.35700000000000004,-7.832999999999999,0.635,171.332,0.142,64,hiphop,152.97299999999998
J. Cole,Revenge Of The Dreamers III: Director's Cut,Still Up,1,10,0,4,0.0894,0.8490000000000001,0.6920000000000001,0.0,0.205,-5.555,0.11900000000000001,150.003,0.512,57,hiphop,205.2
J. Cole,Revenge Of The Dreamers III: Director's Cut,Outta Pocket,1,2,1,4,0.244,0.91,0.456,0.007409999999999999,0.0842,-7.421,0.0642,129.989,0.5539999999999999,60,hiphop,157.213
J. Cole,Revenge Of The Dreamers III: Director's Cut,Late Night,1,1,1,4,0.10300000000000001,0.6779999999999999,0.6559999999999999,0.0,0.316,-7.803,0.507,125.45100000000001,0.711,57,hiphop,196.92
J. Cole,Revenge Of The Dreamers III: Director's Cut,Spin Move,1,7,1,4,0.07,0.784,0.5589999999999999,1.82e-06,0.16899999999999998,-8.401,0.42700000000000005,75.098,0.565,57,hiphop,223.533
J. Cole,Revenge Of The Dreamers III: Director's Cut,BUSSIT,1,1,1,4,0.22,0.7959999999999999,0.563,1.44e-06,0.077,-6.421,0.363,144.96,0.485,65,hiphop,150.72
J. Cole,Revenge Of The Dreamers III: Director's Cut,Passcode,1,1,1,4,0.555,0.626,0.42,2.64e-06,0.11699999999999999,-9.459,0.54,140.929,0.604,55,hiphop,206.0
J. Cole,Revenge Of The Dreamers III: Director's Cut,Up Up Away,1,1,1,4,0.0333,0.882,0.573,0.0,0.316,-6.0520000000000005,0.237,77.977,0.483,60,hiphop,199.706
J. Cole,Revenge Of The Dreamers III: Director's Cut,No Chorus,1,2,1,4,0.23800000000000002,0.691,0.392,0.0,0.149,-9.533999999999999,0.25,148.297,0.0891,57,hiphop,202.213
J. Cole,Revenge Of The Dreamers III: Director's Cut,Disgusted,1,7,0,4,0.133,0.514,0.6759999999999999,0.0,0.0832,-5.322,0.325,86.836,0.327,55,hiphop,163.053
J. Cole,Revenge Of The Dreamers III: Director's Cut,Revenge,1,11,0,4,0.0389,0.6629999999999999,0.805,0.0,0.341,-6.87,0.387,151.091,0.218,54,hiphop,333.226
J. Cole,Revenge Of The Dreamers III: Director's Cut,Still Dreamin,1,0,1,4,0.478,0.452,0.557,1.75e-06,0.0945,-6.425,0.261,82.411,0.38,63,hiphop,261.053
J. Cole,KOD,Intro,0,8,0,3,0.8109999999999999,0.512,0.28,7.48e-05,0.087,-16.708,0.0441,111.446,0.545,52,hiphop,107.16
J. Cole,KOD,KOD,1,0,1,4,0.21,0.831,0.782,0.0,0.113,-6.274,0.15,141.869,0.19899999999999998,72,hiphop,191.43599999999998
J. Cole,KOD,Photograph,1,1,1,3,0.0299,0.825,0.48700000000000004,0.0,0.0868,-6.416,0.233,105.05,0.37200000000000005,64,hiphop,218.953
J. Cole,KOD,The Cut Off,1,1,1,4,0.185,0.74,0.5429999999999999,0.0,0.37200000000000005,-7.979,0.39899999999999997,78.19800000000001,0.337,60,hiphop,237.295
J. Cole,KOD,ATM,1,8,1,4,0.115,0.7190000000000001,0.49700000000000005,0.0,0.0898,-7.6610000000000005,0.6809999999999999,81.65100000000001,0.345,68,hiphop,216.726
J. Cole,KOD,Motiv8,1,4,1,4,0.135,0.8690000000000001,0.385,0.0,0.0931,-7.801,0.297,149.89700000000002,0.596,66,hiphop,133.921
J. Cole,KOD,Kevin’s Heart,1,6,0,4,0.48200000000000004,0.8290000000000001,0.527,0.0,0.631,-6.644,0.36700000000000005,116.07799999999999,0.473,73,hiphop,200.30900000000003
J. Cole,KOD,BRACKETS,1,10,0,4,0.19,0.675,0.5670000000000001,1.77e-06,0.175,-9.147,0.263,84.039,0.6579999999999999,62,hiphop,315.77099999999996
J. Cole,KOD,Once an Addict,1,8,1,4,0.626,0.5479999999999999,0.47200000000000003,0.0,0.11900000000000001,-8.343,0.47700000000000004,82.36,0.138,58,hiphop,197.821
J. Cole,KOD,FRIENDS,1,6,0,5,0.102,0.716,0.652,0.0,0.11,-7.909,0.39799999999999996,109.295,0.494,60,hiphop,257.64599999999996
J. Cole,KOD,Window Pain,1,8,1,4,0.0607,0.72,0.626,0.0,0.0728,-9.351,0.397,75.032,0.182,61,hiphop,286.72900000000004
J. Cole,KOD,1985,1,2,1,4,0.147,0.6779999999999999,0.648,0.0,0.182,-5.892,0.445,94.336,0.635,67,hiphop,190.176
J. Cole,4 Your Eyez Only,For Whom The Bell Tolls,1,10,0,4,0.536,0.595,0.41600000000000004,0.0,0.293,-10.957,0.0366,74.556,0.185,58,hiphop,127.88
J. Cole,4 Your Eyez Only,Immortal,1,3,0,4,0.455,0.7440000000000001,0.43,2.73e-06,0.126,-10.604000000000001,0.309,92.039,0.266,65,hiphop,201.666
J. Cole,4 Your Eyez Only,Deja Vu,1,9,1,4,0.35200000000000004,0.657,0.42100000000000004,0.000218,0.187,-11.378,0.41200000000000003,174.063,0.18100000000000002,69,hiphop,264.746
J. Cole,4 Your Eyez Only,Ville Mentality,1,7,0,3,0.745,0.87,0.386,0.00013000000000000002,0.122,-7.843,0.0684,119.91,0.642,62,hiphop,194.34599999999998
J. Cole,4 Your Eyez Only,She's Mine Pt. 1,1,2,1,4,0.7659999999999999,0.439,0.204,0.0913,0.284,-15.165,0.0587,139.65200000000002,0.0408,60,hiphop,209.08
J. Cole,4 Your Eyez Only,Change,1,11,0,4,0.6659999999999999,0.74,0.523,0.0014199999999999998,0.0968,-10.753,0.233,97.06299999999999,0.235,64,hiphop,331.48
J. Cole,4 Your Eyez Only,Neighbors,1,6,0,4,0.319,0.898,0.28300000000000003,0.000383,0.11,-12.335,0.35600000000000004,138.97,0.469,72,hiphop,216.52
